dataset,model,row_format,column_format,row_correct_count,column_correct_count,intersection_count,conditional_overlap,jaccard
spreadsheet,gemma-4-26B-A4B-it,json_cells,excel_1_image,269,228,209,0.9166666666666666,0.7256944444444444
spreadsheet,gemma-4-26B-A4B-it,json_rows,latex,256,252,213,0.8452380952380952,0.7220338983050848
spreadsheet,gemma-4-26B-A4B-it,json_rows,markdown,256,267,218,0.8164794007490637,0.7147540983606557
spreadsheet,gemma-4-26B-A4B-it,json_rows,json_cells,256,269,223,0.828996282527881,0.7384105960264901
spreadsheet,gemma-4-26B-A4B-it,json_rows,json_rows,256,256,256,1.0,1.0
spreadsheet,gemma-4-26B-A4B-it,json_rows,image,256,200,173,0.865,0.6113074204946997
spreadsheet,gemma-4-26B-A4B-it,json_rows,excel_1_image,256,228,196,0.8596491228070176,0.6805555555555556
spreadsheet,gemma-4-26B-A4B-it,image,latex,200,252,172,0.6825396825396826,0.6142857142857143
spreadsheet,gemma-4-26B-A4B-it,image,markdown,200,267,178,0.6666666666666666,0.615916955017301
spreadsheet,gemma-4-26B-A4B-it,image,json_cells,200,269,179,0.6654275092936803,0.6172413793103448
spreadsheet,gemma-4-26B-A4B-it,image,json_rows,200,256,173,0.67578125,0.6113074204946997
spreadsheet,gemma-4-26B-A4B-it,image,image,200,200,200,1.0,1.0
spreadsheet,gemma-4-26B-A4B-it,image,excel_1_image,200,228,177,0.7763157894736842,0.7051792828685259
spreadsheet,gemma-4-26B-A4B-it,excel_1_image,latex,228,252,192,0.7619047619047619,0.6666666666666666
spreadsheet,gemma-4-26B-A4B-it,excel_1_image,markdown,228,267,207,0.7752808988764045,0.71875
spreadsheet,gemma-4-26B-A4B-it,excel_1_image,json_cells,228,269,209,0.7769516728624535,0.7256944444444444
spreadsheet,gemma-4-26B-A4B-it,excel_1_image,json_rows,228,256,196,0.765625,0.6805555555555556
spreadsheet,gemma-4-26B-A4B-it,excel_1_image,image,228,200,177,0.885,0.7051792828685259
spreadsheet,gemma-4-26B-A4B-it,excel_1_image,excel_1_image,228,228,228,1.0,1.0
